gene-LOC111982896	XP_023901772.1
gene-LOC112037968	XP_023926547.1
gene-LOC112037967	XP_023926546.1
gene-LOC112037970	
gene-LOC112037969	
gene-LOC112037971	XP_023926549.1
gene-LOC112037973	XP_023926550.1
gene-LOC112038012	XP_023926593.1
gene-LOC112037999	XP_023926572.1
gene-LOC112037974	XP_023926551.1
gene-LOC112037975	XP_023926552.1
gene-LOC112038003	XP_023926579.1
gene-LOC112038016	XP_023926595.1
gene-LOC112037995	
gene-LOC112038001	XP_023926576.1
gene-LOC112038001	XP_023926577.1
gene-LOC112038001	XP_023926575.1
gene-LOC112037996	XP_023926568.1
gene-LOC112037976	
gene-LOC112037977	XP_023926554.1
gene-LOC112037998	XP_023926571.1
gene-LOC112037998	XP_023926570.1
gene-LOC112037997	XP_023926569.1
gene-LOC112037978	XP_023926555.1
gene-LOC112037979	XP_023926556.1
gene-LOC112038002	XP_023926578.1
gene-LOC112037980	XP_023926557.1
gene-LOC112037981	XP_023926558.1
gene-LOC112038015	XP_023926594.1
gene-LOC112038010	XP_023926591.1
gene-LOC112038010	XP_023926590.1
gene-LOC112037983	XP_023926559.1
gene-LOC112037984	XP_023926560.1
gene-LOC112038004	XP_023926582.1
gene-LOC112038004	XP_023926580.1
gene-LOC112038004	XP_023926581.1
gene-LOC112037994	XP_023926567.1
gene-LOC112038011	XP_023926592.1
gene-LOC112038000	XP_023926573.1
gene-LOC112038000	XP_023926574.1
gene-LOC112038009	XP_023926589.1
gene-LOC112038009	XP_023926588.1
gene-LOC112038005	XP_023926584.1
gene-LOC112038005	XP_023926583.1
gene-LOC112038005	XP_023926585.1
gene-LOC112037985	
gene-LOC112038008	XP_023926587.1
gene-LOC112038007	XP_023926586.1
gene-LOC112037986	
gene-LOC112037991	
gene-LOC112037987	XP_023926561.1
gene-LOC112038013	
gene-LOC112038017	XP_023926599.1
gene-LOC112038017	XP_023926596.1
gene-LOC112038017	XP_023926598.1
gene-LOC112037988	XP_023926562.1
gene-LOC112037993	XP_023926566.1
gene-LOC112037989	XP_023926563.1
gene-LOC112037990	XP_023926564.1
gene-LOC112037992	XP_023926565.1
gene-LOC112038019	
gene-LOC112038020	XP_023926601.1
gene-LOC112038083	XP_023926675.1
gene-LOC112038083	XP_023926673.1
gene-LOC112038022	XP_023926602.1
gene-LOC112038023	XP_023926603.1
gene-LOC112038024	XP_023926604.1
gene-LOC112038079	XP_023926670.1
gene-LOC112038037	XP_023926616.1
gene-LOC112038073	XP_023926654.1
gene-LOC112038073	XP_023926655.1
gene-LOC112038073	XP_023926657.1
gene-LOC112038073	XP_023926656.1
gene-LOC112038073	XP_023926658.1
gene-LOC112038073	XP_023926659.1
gene-LOC112038050	XP_023926626.1
gene-LOC112038052	XP_023926627.1
gene-LOC112038052	XP_023926628.1
gene-LOC112038045	XP_023926622.1
gene-LOC112038091	XP_023926683.1
gene-LOC112038091	XP_023926684.1
gene-LOC112038047	XP_023926624.1
gene-LOC112038048	XP_023926625.1
gene-LOC112038098	XP_023926693.1
gene-LOC112038104	
gene-LOC112038099	XP_023926694.1
gene-LOC112038025	
gene-LOC112038092	XP_023926685.1
gene-LOC112038092	XP_023926687.1
gene-LOC112038071	XP_023926652.1
gene-LOC112038061	XP_023926638.1
gene-LOC112038070	XP_023926651.1
gene-LOC112038070	XP_023926650.1
gene-LOC112038026	
gene-LOC112038102	
gene-LOC112038077	XP_023926668.1
gene-LOC112038077	XP_023926667.1
gene-LOC112038077	XP_023926666.1
gene-LOC112038044	XP_023926621.1
gene-LOC112038027	XP_023926606.1
gene-LOC112038028	XP_023926607.1
gene-LOC112038103	
gene-LOC112038105	
gene-LOC112038064	XP_023926642.1
gene-LOC112038076	XP_023926665.1
gene-LOC112038053	
gene-LOC112038029	XP_023926608.1
gene-LOC112038055	XP_023926631.1
gene-LOC112038057	XP_023926633.1
gene-LOC112038056	XP_023926632.1
gene-LOC112038054	XP_023926629.1
gene-LOC112038054	XP_023926630.1
gene-LOC112038084	XP_023926676.1
gene-LOC112038075	XP_023926664.1
gene-LOC112038075	XP_023926662.1
gene-LOC112038075	XP_023926663.1
gene-LOC112038075	XP_023926660.1
gene-LOC112038095	XP_023926691.1
gene-LOC112038049	
gene-LOC112038069	XP_023926649.1
gene-LOC112038068	XP_023926647.1
gene-LOC112038039	
gene-LOC112038030	XP_023926609.1
gene-LOC112038046	XP_023926623.1
gene-LOC112038032	XP_023926610.1
gene-LOC112038060	XP_023926637.1
gene-LOC112038081	XP_023926671.1
gene-LOC112038072	XP_023926653.1
gene-LOC112038078	XP_023926669.1
gene-LOC112038033	XP_023926611.1
gene-LOC112038093	XP_023926688.1
gene-LOC112038043	XP_023926619.1
gene-LOC112038100	
gene-LOC112038096	XP_023926692.1
gene-LOC112038034	XP_023926612.1
gene-LOC112038101	XP_023926695.1
gene-LOC112038090	XP_023926682.1
gene-LOC112038086	XP_023926679.1
gene-LOC112038086	XP_023926678.1
gene-LOC112038087	XP_023926680.1
gene-LOC112038088	XP_023926681.1
gene-LOC112038035	XP_023926614.1
gene-LOC112038063	XP_023926641.1
gene-LOC112038041	XP_023926618.1
gene-LOC112038042	
gene-LOC112038066	XP_023926644.1
gene-LOC112038066	XP_023926645.1
gene-LOC112038082	XP_023926672.1
gene-LOC112038067	XP_023926646.1
gene-LOC112038018	XP_023926600.1
gene-LOC112038036	XP_023926615.1
gene-LOC112038085	XP_023926677.1
gene-LOC112038094	XP_023926690.1
gene-LOC112038094	XP_023926689.1
gene-LOC112038058	XP_023926634.1
gene-LOC112038058	XP_023926636.1
gene-LOC112038058	XP_023926635.1
gene-LOC112038062	XP_023926639.1
gene-LOC112038065	XP_023926643.1
gene-LOC112038038	XP_023926617.1
gene-LOC112038107	XP_023926697.1
gene-LOC112038109	
gene-LOC112038110	XP_023926698.1
gene-LOC112038111	XP_023926699.1
gene-LOC112038112	XP_023926700.1
gene-LOC112038106	XP_023926696.1
gene-LOC112038113	
gene-LOC112038114	XP_023926701.1
gene-LOC112038126	
gene-LOC112038143	
gene-LOC112038165	XP_023926745.1
gene-LOC112038144	
gene-LOC112038146	XP_023926728.1
gene-LOC112038167	
gene-LOC112038166	
gene-LOC112038169	
gene-LOC112038164	XP_023926744.1
gene-LOC112038117	XP_023926704.1
gene-LOC112038138	XP_023926724.1
gene-LOC112038136	XP_023926721.1
gene-LOC112038147	XP_023926730.1
gene-LOC112038173	XP_023926751.1
gene-LOC112038170	XP_023926747.1
gene-LOC112038170	XP_023926748.1
gene-LOC112038148	XP_023926731.1
gene-LOC112038125	
gene-LOC112038139	XP_023926725.1
gene-LOC112038149	XP_023926732.1
gene-LOC112038150	XP_023926733.1
gene-LOC112038171	
gene-LOC112038151	
gene-LOC112038152	
gene-LOC112038153	XP_023926734.1
gene-LOC112038135	XP_023926720.1
gene-LOC112038122	XP_023926709.1
gene-LOC112038122	XP_023926710.1
gene-LOC112038122	XP_023926708.1
gene-LOC112038154	XP_023926735.1
gene-LOC112038174	
gene-LOC112038155	XP_023926736.1
gene-LOC112038156	XP_023926737.1
gene-LOC112038134	XP_023926719.1
gene-LOC112038157	XP_023926738.1
gene-LOC112038132	XP_023926718.1
gene-LOC112038132	XP_023926717.1
gene-LOC112038124	XP_023926711.1
gene-LOC112038127	XP_023926713.1
gene-LOC112038163	XP_023926743.1
gene-LOC112038163	XP_023926742.1
gene-LOC112038172	XP_023926750.1
gene-LOC112038162	XP_023926741.1
gene-LOC112038142	XP_023926727.1
gene-LOC112038158	XP_023926739.1
gene-LOC112038159	XP_023926740.1
gene-LOC112038160	
gene-LOC112038120	XP_023926706.1
gene-LOC112038119	XP_023926705.1
gene-LOC112038121	XP_023926707.1
gene-LOC112038115	XP_023926702.1
gene-LOC112038115	XP_023926703.1
gene-LOC112038141	XP_023926726.1
gene-LOC112038137	XP_023926723.1
gene-LOC112038128	
gene-LOC112038129	XP_023926714.1
gene-LOC112038130	XP_023926715.1
gene-LOC112038131	XP_023926716.1
gene-LOC112038161	
gene-LOC112038118	
gene-LOC112038203	XP_023926777.1
gene-LOC112038175	XP_023926752.1
gene-LOC112038202	XP_023926776.1
gene-LOC112038200	XP_023926774.1
gene-LOC112038177	XP_023926754.1
gene-LOC112038180	XP_023926756.1
gene-LOC112038181	XP_023926757.1
gene-LOC112038182	XP_023926758.1
gene-LOC112038183	
gene-LOC112038184	XP_023926760.1
gene-LOC112038185	XP_023926761.1
gene-LOC112038186	XP_023926762.1
gene-LOC112038187	XP_023926763.1
gene-LOC112038188	
gene-LOC112038189	XP_023926764.1
gene-LOC112038190	XP_023926765.1
gene-LOC112038191	XP_023926766.1
gene-LOC112038178	XP_023926755.1
gene-LOC112038198	XP_023926769.1
gene-LOC112038198	XP_023926770.1
gene-LOC112038192	
gene-LOC112038201	XP_023926775.1
gene-LOC112038199	XP_023926773.1
gene-LOC112038199	XP_023926772.1
gene-LOC112038176	XP_023926753.1
gene-LOC112038193	
gene-LOC112038194	XP_023926767.1
gene-LOC112038195	XP_023926768.1
gene-LOC112038197	
gene-LOC112038204	
gene-LOC112038205	XP_023926778.1
gene-LOC112038206	XP_023926779.1
gene-LOC112038215	XP_023926790.1
gene-LOC112038215	XP_023926788.1
gene-LOC112038215	XP_023926789.1
gene-LOC112038210	XP_023926783.1
gene-LOC112038207	XP_023926780.1
gene-LOC112038208	XP_023926781.1
gene-LOC112038211	XP_023926784.1
gene-LOC112038213	XP_023926785.1
gene-LOC112038214	XP_023926787.1
gene-LOC112038209	XP_023926782.1
gene-LOC112038219	
gene-LOC112038221	
gene-LOC112038235	
gene-LOC112038243	
gene-LOC112038239	XP_023926809.1
gene-LOC112038223	
gene-LOC112038237	XP_023926804.1
gene-LOC112038224	XP_023926795.1
gene-LOC112038218	XP_023926793.1
gene-LOC112038217	XP_023926792.1
gene-LOC112038227	XP_023926796.1
gene-LOC112038240	XP_023926810.1
gene-LOC112038241	XP_023926811.1
gene-LOC112038228	
gene-LOC112038236	XP_023926803.1
gene-LOC112038233	XP_023926801.1
gene-LOC112038233	XP_023926799.1
gene-LOC112038234	XP_023926802.1
gene-LOC112038229	XP_023926797.1
gene-LOC112038222	
gene-LOC112038242	XP_023926812.1
gene-LOC112038220	XP_023926794.1
gene-LOC112038238	XP_023926808.1
gene-LOC112038238	XP_023926807.1
gene-LOC112038238	XP_023926806.1
gene-LOC112038238	XP_023926805.1
gene-LOC112038231	
gene-LOC112038232	XP_023926798.1
gene-LOC112038216	XP_023926791.1
gene-LOC112038251	XP_023926819.1
gene-LOC112038244	
gene-LOC112038250	XP_023926817.1
gene-LOC112038245	XP_023926813.1
gene-LOC112038252	XP_023926820.1
gene-LOC112038252	XP_023926821.1
gene-LOC112038247	XP_023926815.1
gene-LOC112038246	XP_023926814.1
gene-LOC112038253	
gene-LOC112038249	XP_023926816.1
gene-LOC112038255	
gene-LOC112038256	XP_023926823.1
gene-LOC112038258	XP_023926825.1
gene-LOC112038267	XP_023926836.1
gene-LOC112038254	XP_023926822.1
gene-LOC112038264	XP_023926832.1
gene-LOC112038269	XP_023926837.1
gene-LOC112038259	XP_023926826.1
gene-LOC112038260	XP_023926827.1
gene-LOC112038261	XP_023926829.1
gene-LOC112038262	XP_023926830.1
gene-LOC112038265	XP_023926833.1
gene-LOC112038263	XP_023926831.1
gene-LOC112038266	XP_023926834.1
gene-LOC112038266	XP_023926835.1
gene-LOC112038270	XP_023926838.1
gene-LOC112038271	XP_023926840.1
gene-LOC112038272	XP_023926841.1
gene-LOC112038273	XP_023926842.1
gene-LOC112038278	XP_023926846.1
gene-LOC112038292	XP_023926860.1
gene-LOC112038279	
gene-LOC112038295	XP_023926864.1
gene-LOC112038295	XP_023926863.1
gene-LOC112038295	XP_023926865.1
gene-LOC112038295	XP_023926866.1
gene-LOC112038298	XP_023926869.1
gene-LOC112038286	XP_023926853.1
gene-LOC112038299	XP_023926870.1
gene-LOC112038287	XP_023926854.1
gene-LOC112038287	XP_023926855.1
gene-LOC112038291	XP_023926859.1
gene-LOC112038288	XP_023926856.1
gene-LOC112038280	
gene-LOC112038300	XP_023926871.1
gene-LOC112038297	XP_023926867.1
gene-LOC112038281	XP_023926848.1
gene-LOC112038275	XP_023926844.1
gene-LOC112038276	XP_023926845.1
gene-LOC112038294	XP_023926862.1
gene-LOC112038293	XP_023926861.1
gene-LOC112038301	XP_023926872.1
gene-LOC112038289	XP_023926857.1
gene-LOC112038274	XP_023926843.1
gene-LOC112038282	XP_023926849.1
gene-LOC112038290	XP_023926858.1
gene-LOC112038283	XP_023926850.1
gene-LOC112038284	XP_023926851.1
gene-LOC112038285	XP_023926852.1
gene-LOC112038302	XP_023926873.1
gene-LOC112038305	
gene-LOC112038303	XP_023926874.1
gene-LOC112038304	
gene-LOC112038307	XP_023926876.1
gene-LOC112038306	XP_023926875.1
gene-LOC112038312	XP_023926882.1
gene-LOC112038311	XP_023926881.1
gene-LOC112038322	XP_023926892.1
gene-LOC112038322	XP_023926893.1
gene-LOC112038319	XP_023926889.1
gene-LOC112038317	XP_023926887.1
gene-LOC112038308	XP_023926878.1
gene-LOC112038308	XP_023926877.1
gene-LOC112038315	XP_023926884.1
gene-LOC112038321	XP_023926891.1
gene-LOC112038310	XP_023926880.1
gene-LOC112038316	XP_023926885.1
gene-LOC112038314	XP_023926883.1
gene-LOC112038320	XP_023926890.1
gene-LOC112038309	XP_023926879.1
gene-LOC112038318	XP_023926888.1
gene-LOC112038329	XP_023926906.1
gene-LOC112038344	XP_023926921.1
gene-LOC112038331	XP_023926907.1
gene-LOC112038332	XP_023926908.1
gene-LOC112038340	XP_023926916.1
gene-LOC112038343	XP_023926920.1
gene-LOC112038341	XP_023926918.1
gene-LOC112038347	XP_023926925.1
gene-LOC112038333	XP_023926910.1
gene-LOC112038342	XP_023926919.1
gene-LOC112038334	XP_023926911.1
gene-LOC112038345	XP_023926922.1
gene-LOC112038328	XP_023926905.1
gene-LOC112038335	XP_023926912.1
gene-LOC112038325	XP_023926902.1
gene-LOC112038324	XP_023926899.1
gene-LOC112038324	XP_023926901.1
gene-LOC112038324	XP_023926894.1
gene-LOC112038324	XP_023926896.1
gene-LOC112038324	XP_023926900.1
gene-LOC112038324	XP_023926895.1
gene-LOC112038324	XP_023926897.1
gene-LOC112038336	XP_023926913.1
gene-LOC112038337	XP_023926914.1
gene-LOC112038338	XP_023926915.1
gene-LOC112038327	XP_023926904.1
gene-LOC112038349	
gene-LOC112038348	
gene-LOC112038326	XP_023926903.1
gene-LOC112038346	XP_023926924.1
gene-LOC112038346	XP_023926923.1
gene-LOC112038352	XP_023926928.1
gene-LOC112038353	
gene-LOC112038364	
gene-LOC112038354	XP_023926929.1
gene-LOC112038360	XP_023926936.1
gene-LOC112038350	XP_023926926.1
gene-LOC112038358	XP_023926932.1
gene-LOC112038355	XP_023926930.1
gene-LOC112038361	XP_023926937.1
gene-LOC112038356	XP_023926931.1
gene-LOC112038362	XP_023926938.1
gene-LOC112038363	XP_023926939.1
gene-LOC112038359	XP_023926934.1
gene-LOC112038359	XP_023926933.1
gene-LOC112038351	XP_023926927.1
gene-LOC112038370	XP_023926949.1
gene-LOC112038366	XP_023926944.1
gene-LOC112038366	XP_023926942.1
gene-LOC112038366	XP_023926946.1
gene-LOC112038366	XP_023926943.1
gene-LOC112038366	XP_023926945.1
gene-LOC112038366	XP_023926941.1
gene-LOC112038372	XP_023926952.1
gene-LOC112038368	
gene-LOC112038373	XP_023926953.1
gene-LOC112038374	XP_023926954.1
gene-LOC112038369	XP_023926948.1
gene-LOC112038365	XP_023926940.1
gene-LOC112038376	XP_023926955.1
gene-LOC112038377	XP_023926956.1
gene-LOC112038371	XP_023926950.1
gene-LOC112038371	XP_023926951.1
gene-LOC112038379	XP_023926959.1
gene-LOC112038378	XP_023926958.1
gene-LOC112038380	XP_023926960.1
gene-TRNAS-UGA-6	
gene-LOC112038381	XP_023926961.1
gene-LOC112038383	XP_023926962.1
gene-LOC112038385	XP_023926963.1
gene-LOC112038386	
gene-LOC112038387	XP_023926964.1
gene-LOC112038389	XP_023926967.1
gene-LOC112038393	XP_023926971.1
gene-LOC112038394	XP_023926972.1
gene-LOC112038396	XP_023926973.1
gene-LOC112038397	XP_023926974.1
gene-LOC112038391	XP_023926969.1
gene-LOC112038398	XP_023926975.1
gene-LOC112038399	XP_023926976.1
gene-LOC112038400	XP_023926977.1
gene-LOC112038401	XP_023926978.1
gene-LOC112038392	XP_023926970.1
gene-LOC112038402	XP_023926979.1
gene-LOC112038403	XP_023926980.1
gene-LOC112038390	XP_023926968.1
gene-LOC112038404	XP_023926981.1
gene-LOC112038405	XP_023926982.1
gene-LOC112038407	XP_023926983.1
gene-LOC112038408	XP_023926984.1
gene-LOC112038409	XP_023926985.1
gene-LOC112038410	XP_023926987.1
gene-LOC112038388	XP_023926966.1
gene-LOC112038411	XP_023926988.1
gene-LOC112038412	XP_023926989.1
gene-LOC112038413	XP_023926990.1
gene-LOC112038415	XP_023926991.1
gene-LOC112038416	XP_023926992.1
gene-LOC112038417	XP_023926993.1
gene-LOC112038418	XP_023926995.1
gene-LOC112038419	XP_023926996.1
gene-LOC112038420	XP_023926997.1
gene-LOC112038421	XP_023926998.1
gene-LOC112038422	XP_023926999.1
gene-LOC112038423	XP_023927000.1
gene-LOC112038424	XP_023927001.1
gene-LOC112038426	XP_023927002.1
gene-LOC112038427	XP_023927003.1
gene-LOC112038442	XP_023927018.1
gene-LOC112038431	XP_023927007.1
gene-LOC112038432	XP_023927008.1
gene-LOC112038430	
gene-LOC112038428	XP_023927004.1
gene-LOC112038433	XP_023927009.1
gene-LOC112038434	XP_023927010.1
gene-LOC112038436	XP_023927011.1
gene-LOC112038440	XP_023927017.1
gene-LOC112038438	XP_023927013.1
gene-LOC112038438	XP_023927015.1
gene-LOC112038437	XP_023927012.1
gene-LOC112038439	XP_023927016.1
gene-LOC112038441	
gene-LOC112038429	XP_023927006.1
gene-LOC112038446	XP_023927021.1
gene-LOC112038443	XP_023927019.1
gene-LOC112038445	XP_023927020.1
gene-LOC112038448	XP_023927024.1
gene-LOC112038449	XP_023927025.1
gene-LOC112038450	XP_023927026.1
gene-LOC112038452	XP_023927027.1
gene-LOC112038453	XP_023927028.1
gene-LOC112038454	XP_023927029.1
gene-LOC112038455	XP_023927030.1
gene-LOC112038456	XP_023927031.1
gene-LOC112038457	XP_023927032.1
gene-LOC112038458	XP_023927033.1
gene-LOC112038459	XP_023927034.1
gene-LOC112038460	XP_023927035.1
gene-LOC112038461	XP_023927036.1
gene-LOC112038462	XP_023927037.1
gene-LOC112038463	XP_023927038.1
gene-LOC112038464	XP_023927039.1
gene-LOC112038465	XP_023927040.1
gene-LOC112038466	XP_023927041.1
gene-LOC112038447	XP_023927023.1
gene-LOC112038467	XP_023927042.1
gene-LOC112038468	XP_023927043.1
gene-LOC112038469	XP_023927044.1
gene-LOC112038470	XP_023927045.1
gene-LOC112038471	XP_023927046.1
gene-LOC112038472	XP_023927047.1
gene-LOC112038473	XP_023927048.1
gene-LOC112038474	XP_023927049.1
gene-LOC112038477	
gene-LOC112038478	XP_023927051.1
gene-LOC112038475	
gene-LOC112038476	XP_023927050.1
gene-LOC112038480	XP_023927052.1
gene-LOC112038480	XP_023927053.1
gene-LOC112038481	XP_023927054.1
gene-LOC112038483	XP_023927056.1
gene-LOC112038482	
gene-LOC112038484	XP_023927058.1
gene-LOC112038484	XP_023927057.1
gene-LOC112038496	XP_023927076.1
gene-LOC112038494	XP_023927070.1
gene-LOC112038494	XP_023927071.1
gene-LOC112038494	XP_023927072.1
gene-LOC112038494	XP_023927074.1
gene-LOC112038488	XP_023927062.1
gene-LOC112038485	XP_023927059.1
gene-LOC112038489	XP_023927063.1
gene-LOC112038492	XP_023927066.1
gene-LOC112038492	XP_023927068.1
gene-LOC112038492	XP_023927069.1
gene-LOC112038492	XP_023927067.1
gene-LOC112038491	XP_023927065.1
gene-LOC112038491	XP_023927064.1
gene-LOC112038497	XP_023927078.1
gene-LOC112038497	XP_023927077.1
gene-LOC112038486	XP_023927060.1
gene-LOC112038495	XP_023927075.1
gene-LOC112038487	XP_023927061.1
gene-LOC112038490	
gene-LOC112038503	XP_023927084.1
gene-LOC112038504	
gene-LOC112038510	XP_023927091.1
gene-LOC112038510	XP_023927094.1
gene-LOC112038510	XP_023927093.1
gene-LOC112038510	XP_023927092.1
gene-LOC112038510	XP_023927095.1
gene-LOC112038509	XP_023927090.1
gene-LOC112038505	XP_023927086.1
gene-LOC112038498	XP_023927080.1
gene-LOC112038498	XP_023927079.1
gene-LOC112038499	XP_023927081.1
gene-LOC112038501	XP_023927082.1
gene-LOC112038511	XP_023927100.1
gene-LOC112038511	XP_023927097.1
gene-LOC112038511	XP_023927098.1
gene-LOC112038511	XP_023927096.1
gene-LOC112038511	XP_023927099.1
gene-LOC112038513	XP_023927101.1
gene-LOC112038508	XP_023927089.1
gene-LOC112038507	XP_023927087.1
gene-LOC112038502	XP_023927083.1
gene-LOC112038514	XP_023927103.1
gene-LOC112038515	XP_023927104.1
gene-LOC112038516	XP_023927105.1
gene-LOC112038517	XP_023927106.1
gene-LOC112038519	
gene-LOC112038518	XP_023927107.1
gene-LOC112038521	
gene-LOC112038522	XP_023927108.1
gene-LOC112038524	XP_023927111.1
gene-LOC112038523	XP_023927109.1
gene-LOC112038525	XP_023927112.1
gene-LOC112038526	XP_023927113.1
gene-LOC112038527	XP_023927114.1
gene-LOC112038528	XP_023927115.1
gene-LOC112038529	XP_023927116.1
gene-LOC112038530	XP_023927117.1
gene-LOC112038531	
gene-LOC112038532	XP_023927119.1
gene-LOC112038533	XP_023927121.1
gene-LOC112038534	XP_023927122.1
gene-LOC112038535	XP_023927123.1
gene-LOC112038567	XP_023927155.1
gene-LOC112038567	XP_023927157.1
gene-LOC112038567	XP_023927154.1
gene-LOC112038538	XP_023927125.1
gene-LOC112038560	XP_023927145.1
gene-LOC112038540	XP_023927126.1
gene-LOC112038554	XP_023927139.1
gene-LOC112038555	XP_023927140.1
gene-LOC112038558	XP_023927144.1
gene-LOC112038541	XP_023927127.1
gene-LOC112038542	XP_023927129.1
gene-LOC112038559	
gene-LOC112038543	XP_023927130.1
gene-LOC112038562	XP_023927149.1
gene-LOC112038544	XP_023927131.1
gene-LOC112038545	XP_023927132.1
gene-LOC112038561	XP_023927147.1
gene-LOC112038561	XP_023927146.1
gene-LOC112038563	XP_023927150.1
gene-LOC112038546	XP_023927133.1
gene-LOC112038548	
gene-LOC112038565	
gene-LOC112038568	
gene-LOC112038564	XP_023927151.1
gene-LOC112038564	XP_023927152.1
gene-LOC112038549	XP_023927135.1
gene-LOC112038536	
gene-LOC112038537	XP_023927124.1
gene-LOC112038550	XP_023927136.1
gene-LOC112038551	XP_023927137.1
gene-LOC112038552	XP_023927138.1
gene-LOC112038566	XP_023927153.1
gene-LOC112038557	XP_023927143.1
gene-LOC112038553	
gene-LOC112038556	XP_023927142.1
gene-LOC112038572	XP_023927160.1
gene-LOC112038571	XP_023927159.1
gene-LOC112038578	XP_023927167.1
gene-LOC112038579	XP_023927169.1
gene-LOC112038579	XP_023927168.1
gene-LOC112038569	
gene-LOC112038570	XP_023927158.1
gene-LOC112038576	XP_023927164.1
gene-LOC112038576	XP_023927163.1
gene-LOC112038577	XP_023927165.1
gene-LOC112038573	XP_023927161.1
gene-LOC112038574	XP_023927162.1
gene-LOC112038580	XP_023927170.1
gene-LOC112038585	XP_023927175.1
gene-LOC112038594	XP_023927186.1
gene-LOC112038588	XP_023927179.1
gene-LOC112038595	XP_023927187.1
gene-LOC112038582	XP_023927171.1
gene-LOC112038582	XP_023927172.1
gene-LOC112038589	XP_023927180.1
gene-LOC112038589	XP_023927181.1
gene-LOC112038586	XP_023927177.1
gene-LOC112038583	XP_023927174.1
gene-LOC112038583	XP_023927173.1
gene-LOC112038593	XP_023927185.1
gene-LOC112038581	
gene-LOC112038590	XP_023927183.1
gene-LOC112038592	XP_023927184.1
gene-LOC112038587	XP_023927178.1
gene-LOC112038622	XP_023927218.1
gene-LOC112038619	XP_023927215.1
gene-LOC112038619	XP_023927214.1
gene-LOC112038616	XP_023927210.1
gene-LOC112038620	XP_023927216.1
gene-LOC112038623	XP_023927220.1
gene-LOC112038610	XP_023927204.1
gene-LOC112038610	XP_023927203.1
gene-LOC112038610	XP_023927202.1
gene-LOC112038602	XP_023927196.1
gene-LOC112038599	XP_023927192.1
gene-LOC112038599	XP_023927193.1
gene-LOC112038603	
gene-LOC112038625	XP_023927221.1
gene-LOC112038596	XP_023927188.1
gene-LOC112038608	XP_023927200.1
gene-LOC112038609	XP_023927201.1
gene-LOC112038626	
gene-LOC112038613	XP_023927207.1
gene-LOC112038613	XP_023927208.1
gene-LOC112038611	XP_023927205.1
gene-LOC112038615	XP_023927209.1
gene-LOC112038607	XP_023927198.1
gene-LOC112038605	
gene-LOC112038601	XP_023927195.1
gene-LOC112038598	XP_023927191.1
gene-LOC112038597	XP_023927189.1
gene-LOC112038618	XP_023927213.1
gene-LOC112038600	XP_023927194.1
gene-LOC112038621	XP_023927217.1
gene-TRNAQ-CUG-4	
gene-LOC112038612	XP_023927206.1
gene-LOC112038617	XP_023927212.1
gene-LOC112038606	XP_023927197.1
gene-LOC112038656	XP_023927254.1
gene-LOC112038629	
gene-LOC112038632	
gene-LOC112038645	XP_023927238.1
gene-LOC112038645	XP_023927236.1
gene-LOC112038645	XP_023927240.1
gene-LOC112038645	XP_023927237.1
gene-LOC112038645	XP_023927239.1
gene-LOC112038636	XP_023927226.1
gene-LOC112038630	XP_023927223.1
gene-LOC112038633	
gene-LOC112038637	XP_023927227.1
gene-LOC112038638	XP_023927229.1
gene-LOC112038639	XP_023927230.1
gene-LOC112038652	XP_023927248.1
gene-LOC112038654	XP_023927252.1
gene-LOC112038640	XP_023927231.1
gene-LOC112038648	XP_023927242.1
gene-LOC112038641	XP_023927232.1
gene-LOC112038642	XP_023927234.1
gene-LOC112038628	
gene-LOC112038657	XP_023927255.1
gene-LOC112038651	XP_023927246.1
gene-LOC112038651	XP_023927247.1
gene-LOC112038643	
gene-LOC112038634	XP_023927225.1
gene-LOC112038644	XP_023927235.1
gene-LOC112038655	XP_023927253.1
gene-LOC112038650	XP_023927245.1
gene-LOC112038658	XP_023927257.1
gene-LOC112038658	XP_023927256.1
gene-LOC112038647	XP_023927241.1
gene-LOC112038653	XP_023927250.1
gene-LOC112038653	XP_023927249.1
gene-LOC112038649	XP_023927244.1
gene-LOC112038631	XP_023927224.1
gene-LOC112038702	XP_023927313.1
gene-LOC112038715	
gene-LOC112038713	
gene-LOC112038716	
gene-LOC112038714	
gene-LOC112038691	XP_023927294.1
gene-LOC112038675	XP_023927282.1
gene-LOC112038676	XP_023927283.1
gene-LOC112038677	XP_023927284.1
gene-LOC112038711	XP_023927329.1
gene-LOC112038678	XP_023927285.1
gene-LOC112038681	XP_023927286.1
gene-LOC112038700	XP_023927310.1
gene-LOC112038707	XP_023927324.1
gene-LOC112038670	XP_023927273.1
gene-LOC112038670	XP_023927274.1
gene-LOC112038670	XP_023927275.1
gene-LOC112038669	XP_023927272.1
gene-LOC112038705	XP_023927318.1
gene-LOC112038705	XP_023927316.1
gene-LOC112038705	XP_023927317.1
gene-LOC112038668	XP_023927270.1
gene-LOC112038668	XP_023927271.1
gene-LOC112038682	XP_023927287.1
gene-LOC112038666	XP_023927268.1
gene-LOC112038661	XP_023927264.1
gene-LOC112038661	XP_023927263.1
gene-LOC112038662	XP_023927265.1
gene-LOC112038663	XP_023927266.1
gene-LOC112038663	XP_023927267.1
gene-LOC112038694	XP_023927302.1
gene-LOC112038704	XP_023927315.1
gene-LOC112038696	XP_023927305.1
gene-LOC112038695	XP_023927303.1
gene-LOC112038695	XP_023927304.1
